,norm PV gradient
VISp,0.5527699048765466
AUDp,0.45350391042656735
SSp-ll,0.7572323883729655
AUDd,0.47763428932849483
SSp-n,1.0
SSp-ul,0.9160735578036796
AIp,0.0
SSp-m,0.9364070791918333
SSp-un,0.9160735578036796
SSp-bfd,0.7875766991584768
VISl,0.5988490219462651
AUDv,0.32606837999863825
SSs,0.6103073320158252
VISC,0.3295643097861917
SSp-tr,0.6140146518931714
VISli,0.5988490219462651
MOp,0.6231476700908721
VISrl,0.5132697238007627
VISpl,0.5374842974159171
RSPv,0.5510105762596087
RSPd,0.5977201585329761
GU,0.20585266615195197
RSPagl,0.39131391101562224
PERI,0.08056552044747026
ECT,0.11738260585216652
VISal,0.5240990940729272
ILA,0.16250569259664033
ORBl,0.6815593082019547
AId,0.3207146507790233
VISpm,0.34514140410424615
ORBm,0.18039653942187073
PL,0.14386827772461802
VISpor,0.5374842974159171
FRP,0.14386827772461802
AUDpo,0.2383104107387425
TEa,0.18809670260103686
VISa,0.5132697238007627
VISam,0.47488046046103066
MOs,0.5618970134392322
ORBvl,0.5100738248341153
ACAv,0.4414094132305978
ACAd,0.5834887926481916
AIv,0.292444089839911
