,norm SST gradient
ACAd,0.1267528649624844
ACAv,0.11408892338932802
AId,0.08998333132111012
AIp,0.16692110684527348
AIv,0.26702679553211
AUDd,0.1548092457154399
AUDp,0.14371236909182056
AUDpo,0.37261075263422255
AUDv,0.26844244586246
ECT,0.3547936363082006
FRP,0.34572894674350957
GU,0.396213444066537
ILA,1.0
MOp,0.08392382069923464
MOs,0.0
ORBl,0.12505560959904355
ORBm,0.33544466212850066
ORBvl,0.33993128507832526
PERI,0.18625549587541007
PL,0.34572894674350957
RSPagl,0.5640871269876984
RSPd,0.3086279314223378
RSPv,0.21010421692294137
SSp-bfd,0.13168071450085245
SSp-ll,0.21256750219134593
SSp-m,0.11379384394135503
SSp-n,0.17256528376895355
SSp-tr,0.23140041885859738
SSp-ul,0.16768144399406687
SSp-un,0.16768144399406687
SSs,0.195870863304185
TEa,0.4290647174999734
VISC,0.4448560127302303
VISa,0.28998696857485273
VISal,0.20351607833295182
VISam,0.3481230938207556
VISl,0.2745910574190594
VISli,0.2745910574190594
VISp,0.2456692354997428
VISpl,0.2560933208384052
VISpm,0.2715298379183795
VISpor,0.2560933208384052
VISrl,0.28998696857485273
