,THhier
VAL,0.717411665
VM,1.338553517
VPL,-0.6119423429999999
VPLpc,-0.6119423429999999
VPM,-0.746676434
VPMpc,-0.746676434
SPFm,-0.262571597
SPFp,-0.262571597
SPA,-0.262571597
PP,-0.262571597
MG,0.023794182
LGd,-0.262571597
LP,0.74300548
PO,0.5128914929999999
POL,1.339864967
SGN,-0.262571597
AV,0.68986923
AM,0.06017991
AD,0.06017991
IAM,0.06017991
IAD,-0.219974013
LD,0.464974768
IMD,0.123661385
MD,0.262583235
SMT,0.7391165959999999
PR,0.262583235
PVT,0.592074315
PT,0.32624781
RE,1.3140294
RH,-0.28233004899999997
CM,0.658592874
PCN,-0.28233004899999997
CL,-0.224197454
PF,1.311948817
IGL,-0.262571597
LGv,-0.262571597
SubG,-0.262571597
MH,0.592074315
LH,0.592074315
