,area,volume
0,ACAd,3131334.0
1,ACAv,2408528.0
2,AId,3724650.0
3,AIp,2434626.0
4,AIv,1734830.0
5,AUDd,1214826.0
6,AUDp,2148996.0
7,AUDpo,612204.0
8,AUDv,1818222.0
9,ECT,1712238.0
10,FRP,973876.0
11,GU,1768314.0
12,ILA,844322.0
13,MOp,11351334.0
14,MOs,13099028.0
15,ORBl,2728124.0
16,ORBm,1399370.0
17,ORBvl,1776786.0
18,PERI,789792.0
19,PL,2410398.0
20,RSPagl,2357084.0
21,RSPd,3799386.0
22,RSPv,4347166.0
23,SSp-bfd,6287780.0
24,SSp-ll,2352126.0
25,SSp-m,6209620.0
26,SSp-n,3019080.0
27,SSp-tr,1401698.0
28,SSp-ul,3769462.0
29,SSp-un,1262332.0
30,SSs,9018162.0
31,TEa,3102282.0
32,VISC,2349560.0
33,VISa,1439164.0
34,VISal,758224.0
35,VISam,792558.0
36,VISl,1225624.0
37,VISli,492086.0
38,VISp,7074134.0
39,VISpl,794466.0
40,VISpm,1048764.0
41,VISpor,1282404.0
42,VISrl,1017664.0
