Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
Basic cell groups and regions,5973.539694,0,5358.54697,0,1049.199722,0,21529.97691,0,33911.26329,0,21529.97691,0,167290.1252,428.9553906
Cerebrum,2432.280489,0,5223.492013,0,1607.10774,0,15604.68075,0,24867.56099,0,15604.68075,0,91788.34042,267.9844063
Cerebral cortex,2858.693804,43.55837109,5029.761702,45.64288572,1974.603422,31.93578088,13385.13401,42.72785438,23248.19293,8.644608742,13385.13401,8.644608742,104507.9059,216.5092188
Cortical plate,2888.525098,0,4806.314953,0,2013.841285,0,13105.41294,0,22814.09427,0,13105.41294,0,106000.582,208.0747031
Isocortex,4167.209868,0,4485.086327,0,2258.434624,0,7030.134426,0,17940.86524,0,7030.134426,0,72779.54043,123.1771719
"Frontal pole, cerebral cortex",1144.452697,0,1249.254927,0,1941.571534,0,12824.6425,0,17159.92166,0,12824.6425,0,30999.83875,0.594328125
"Frontal pole, layer 1",278.7124936,0,967.0840613,115.2691099,1712.59699,316.0053715,13018.16897,292.2628088,15976.56252,0,13018.16897,0,15976.56252,0.4975
"Frontal pole, layer 2/3",5592.599878,588.7432155,2699.040367,0,3118.035868,73.18257897,11830.30931,420.304013,23239.98542,0,11830.30931,0,108188.9811,0.096828125
Somatomotor areas,3625.455723,0,3059.802497,0,2184.003158,0,6357.993575,0,15227.25495,0,6357.993575,0,44291.67889,22.24823438
Primary motor area,3695.997218,0,3150.352497,0,2141.861035,0,5642.987825,0,14631.19857,0,5642.987825,0,43366.37094,11.99435938
"Primary motor area, Layer 1",61.94753406,0,358.3517989,16.27569091,1405.596005,372.4077549,17150.60606,288.7690303,18976.5014,0,17150.60606,0,18976.5014,1.774671875
"Primary motor area, Layer 2/3",4387.768165,130.5799917,2737.965069,165.336779,4071.366078,265.846339,3347.44685,649.9895637,14544.54616,524.5394475,3347.44685,524.5394475,55020.01907,3.9456875
"Primary motor area, Layer 5",5055.612808,435.3765568,4511.170013,0,1241.91453,23.96263959,3788.819494,694.4743461,14597.51684,534.2067522,3788.819494,534.2067522,45761.64947,3.60340625
"Primary motor area, Layer 6a",3283.747235,89.82300739,3801.240301,353.5188376,994.6547426,53.43560997,4319.416735,780.8028681,12399.05901,442.9285961,4319.416735,442.9285961,39860.45253,2.33653125
"Primary motor area, Layer 6b",3048.577763,58.41796004,3622.23726,118.0327639,994.6539108,3.182911828,880.7887526,257.4101104,8546.257686,328.2955939,880.7887526,328.2955939,33975.57753,0.3340625
Secondary motor area,3542.940572,0,2953.882613,0,2233.298451,0,7194.363817,0,15924.48545,0,7194.363817,0,45374.04786,10.253875
"Secondary motor area, layer 1",120.2332076,0,470.2207709,34.45822275,1806.535118,72.58027994,21740.2024,27.32509972,24137.19149,0,21740.2024,0,24137.19149,2.057125
"Secondary motor area, layer 2/3",4746.825353,206.3528016,3008.508607,17.14220679,4190.143589,0,2431.040402,548.3667596,14376.51795,525.3176967,2431.040402,525.3176967,66274.43561,3.309296875
